id,code,name,memo
74,2001,短期借款,
75,2002,存入保证金,金融共用
76,2003,拆入资金,金融共用
77,2004,向中央银行借款,银行专用
78,2011,同业存放,银行专用
79,2012,吸收存款,银行专用
80,2021,贴现负债,银行专用
81,2101,交易性金融负债,
82,2111,专出回购金融资产款,金融共用
83,2201,应付票据,
84,2202,应付帐款,
85,2205,预收帐款,
86,2211,应付职工薪酬,
87,2221,应交税费,
88,2231,应付股利,
89,2232,应付利息,
90,2241,其他应付款,
91,2251,应付保户红利,保险专用
92,2261,应付分保帐款,保险专用
93,2311,代理买卖证券款,证券专用
94,2312,代理承销证券款,证券和银行共用
95,2313,代理兑付证券款,证券和银行共用
96,2314,代理业务负债,
97,2401,预提费用,
98,2411,预计负债,
99,2501,递延收益,
100,2601,长期借款,
101,2602,长期债券,
102,2701,未到期责任准备金,保险专用
103,2702,保险责任准备金,保险专用
104,2711,保户储金,保险专用
105,2721,独立帐户负债,保险专用
106,2801,长期应付款,
107,2802,未确认融资费用,
108,2811,专项应付款,
109,2901,递延所得税负债,
