129,600id,code,name,memo
1,主营业务收入,
130,6011,利息收入,金融共用
131,6021,手续费收入,金融共用
132,6031,保费收入,保险专用
133,6032,分保费收入,保险专用
135,6041,租赁收入,租赁专用
135,6051,其他业务收入,
136,6061,汇兑损益,金融专用
137,6101,公允价值变动损益,
138,6111,投资收益,
139,6201,摊回保险责任准备金,保险专用
140,6202,摊回赔付支出,保险专用
141,6203,摊回分保费用,保险专用
142,6301,营业外收入,
143,6401,主营业务成本,
144,6402,其它业务成本,
145,6405,营业税金及附加,
146,6411,利息支出,金融共用
147,6421,手续费支出,金融共用
148,6501,提取未到期责任准备金,保险专用
149,6502,撮保险责任准备金,保险专用
150,6511,赔付支出,保险专用
151,6521,保户红利支出,保险专用
152,6531,退保金,保险专用
153,6541,分出保费,保险专用
154,6542,分保费用,保险专用
155,6601,销售费用,
156,6602,管理费用,
157,6603,财务费用,
158,6604,勘探费用,
159,6701,资产减值损失,
160,6711,营业外支出,
161,6801,所得税,
162,6901,以前年度损益调整,
